"char";"storage";"item";"quantity"
"Erzalxix";"sack";"Mage's Ballad";"1"
"Erzalxix";"sack";"Thundaga III";"1"
"Erzalxix";"sack";"Ve.Abjuration: Hn.";"1"
"Erzalxix";"sack";"The Bell Tolls";"36"
"Erzalxix";"sack";"Eld. Chest Key";"1"
"Erzalxix";"sack";"Fire Crystal";"8"
"Erzalxix";"sack";"Barsleep";"1"
"Erzalxix";"sack";"Instant Warp";"1"
"Erzalxix";"sack";"Bu.Abjuration: Hn.";"1"
"Erzalxix";"sack";"Tr.Abjuration: Lg.";"1"
"Erzalxix";"sack";"Ve.Abjuration: Ft.";"1"
"Erzalxix";"sack";"Eschalixir +1";"50"
"Erzalxix";"sack";"Hrohj's Record";"122"
"Erzalxix";"sack";"Delkfutt Key";"1"
"Erzalxix";"sack";"Sh.Abjuration: Hd.";"1"
"Erzalxix";"sack";"Eschalixir";"25"
"Erzalxix";"sack";"Meat Jerky";"6"
"Erzalxix";"sack";"Foe Lullaby";"1"
"Erzalxix";"sack";"Tr.Abjuration: Hd.";"1"
"Erzalxix";"case";"Lizard Tail";"3"
"Erzalxix";"case";"Eudaemon Shld.";"1"
"Erzalxix";"case";"Treant Bulb";"2"
"Erzalxix";"case";"Vegetable Seeds";"1"
"Erzalxix";"case";"Lavarion";"3"
"Erzalxix";"case";"Arrowwood Log";"1"
"Erzalxix";"case";"Pugil Scales";"1"
"Erzalxix";"case";"Imp. Brz. Piece";"10"
"Erzalxix";"case";"Pluton";"150"
"Erzalxix";"case";"Dnc. Testimony";"1"
"Erzalxix";"case";"Kunwu Ore";"1"
"Erzalxix";"case";"Shihei";"99"
"Erzalxix";"case";"H. Kindred Crest";"82"
"Erzalxix";"case";"Specter's Ore";"25"
"Erzalxix";"case";"Wind Crystal";"24"
"Erzalxix";"case";"Cotton Cloth";"1"
"Erzalxix";"case";"Eudaemon Ring";"1"
"Erzalxix";"case";"Star Sapphire";"1"
"Erzalxix";"case";"Oak Log";"1"
"Erzalxix";"case";"Eudaemon Blade";"1"
"Erzalxix";"case";"Fruit Seeds";"1"
"Erzalxix";"case";"Ash Staff";"1"
"Erzalxix";"case";"Aero V";"1"
"Erzalxix";"case";"Peiste Skin";"1"
"Erzalxix";"case";"Maple Log";"1"
"Erzalxix";"case";"Yagudo Necklace";"14"
"Erzalxix";"case";"7-Knot Quipu";"1"
"Erzalxix";"case";"Pickaxe";"3"
"Erzalxix";"case";"Shinobi-Tabi";"67"
"Erzalxix";"case";"Ordrynite";"1"
"Erzalxix";"case";"Pso. Chest Key";"1"
"Erzalxix";"case";"Kindred's Seal";"4"
"Erzalxix";"case";"Mercury";"4"
"Erzalxix";"case";"Goblin Helm";"2"
"Erzalxix";"case";"Sanjaku-Tenugui";"76"
"Erzalxix";"case";"Eudaemon Cape";"1"
"Erzalxix";"case";"Bat Fang";"1"
"Erzalxix";"case";"Eudaemon Sash";"1"
"Erzalxix";"case";"Hatchet";"44"
"Erzalxix";"case";"Cehuetzi Pelt";"1"
"Erzalxix";"case";"Walnut";"1"
"Erzalxix";"case";"Hemlock";"1"
"Erzalxix";"case";"Imp. Slv. Piece";"1"
"Erzalxix";"case";"Silver Beastcoin";"4"
"Erzalxix";"case";"Wijnruit";"2"
"Erzalxix";"case";"Lizard Blood";"3"
"Erzalxix";"case";"Teak Log";"1"
"Erzalxix";"case";"Puffball";"1"
"Erzalxix";"case";"S. Kindred Crest";"78"
"Erzalxix";"case";"Jeunoan Flag";"1"
"Erzalxix";"case";"Emerald";"1"
"Erzalxix";"case";"Hrohj's Record";"12"
"Erzalxix";"case";"R. Leather Missive";"1"
"Erzalxix";"case";"Bat Wing";"2"
"Erzalxix";"case";"Avatar Blood";"1"
"Erzalxix";"case";"Moblin Mask";"1"
"Erzalxix";"case";"Im. Wootz Ingot";"1"
"Erzalxix";"case";"Ra'Kaz. Sapphire";"3"
"Erzalxix";"case";"Rdm. Testimony";"1"
"Erzalxix";"case";"Kindred's Crest";"71"
"Erzalxix";"case";"Bird Blood";"10"
"Erzalxix";"case";"Sulfur";"1"
"Erzalxix";"case";"Beastmen's Seal";"19"
"Erzalxix";"case";"Bone Chip";"2"
"Erzalxix";"wardrobe2";"Inlamvuyeso";"1"
"Erzalxix";"wardrobe2";"Arciela's Grace +1";"1"
"Erzalxix";"wardrobe2";"Fili Earring";"1"
"Erzalxix";"wardrobe2";"Shijo";"1"
"Erzalxix";"wardrobe2";"Iztaasu";"1"
"Erzalxix";"wardrobe2";"Kasuga Earring";"1"
"Erzalxix";"wardrobe2";"Runeist Trousers";"1"
"Erzalxix";"wardrobe2";"Trial Blade";"1"
"Erzalxix";"wardrobe2";"Deathbane";"1"
"Erzalxix";"wardrobe2";"Councilor's Garb";"1"
"Erzalxix";"wardrobe2";"Paeapua";"1"
"Erzalxix";"wardrobe2";"Solstice";"2"
"Erzalxix";"wardrobe2";"Fullmetal Bullet";"1"
"Erzalxix";"wardrobe2";"Iqabi Necklace";"1"
"Erzalxix";"wardrobe2";"Beorc Sword";"1"
"Erzalxix";"wardrobe2";"Councilor's Cuffs";"1"
"Erzalxix";"wardrobe2";"Wicce Earring";"1"
"Erzalxix";"wardrobe2";"Dcl.Grd. Ring";"1"
